device_id,current,active_power,reactive_power,ts_id,device_type,device_location,device_brand,device_category,description,synthetic
88e0d1dd-304f-4187-b34f-5643ae172c16,0.0292,0.64,7.33,112566,laptop,GB,lenovo,office,thinkpad,0
88e0d1dd-304f-4187-b34f-5643ae172c16,0.0292,0.64,7.33,112566,laptop,GB,lenovo,office,thinkpad,0
88e0d1dd-304f-4187-b34f-5643ae172c16,0.0292,0.64,7.33,112566,laptop,GB,lenovo,office,thinkpad,0
88e0d1dd-304f-4187-b34f-5643ae172c16,0.0292,0.64,7.33,112566,laptop,GB,lenovo,office,thinkpad,0
88e0d1dd-304f-4187-b34f-5643ae172c16,0.0292,0.64,7.33,112566,laptop,GB,lenovo,office,thinkpad,0
88e0d1dd-304f-4187-b34f-5643ae172c16,0.0292,0.64,7.33,112566,laptop,GB,lenovo,office,thinkpad,0
88e0d1dd-304f-4187-b34f-5643ae172c16,0.0292,0.64,7.33,112566,laptop,GB,lenovo,office,thinkpad,0
88e0d1dd-304f-4187-b34f-5643ae172c16,0.0292,0.64,7.33,112566,laptop,GB,lenovo,office,thinkpad,0
88e0d1dd-304f-4187-b34f-5643ae172c16,0.0292,0.64,7.33,112566,laptop,GB,lenovo,office,thinkpad,0
88e0d1dd-304f-4187-b34f-5643ae172c16,0.0292,0.64,7.33,112566,laptop,GB,lenovo,office,thinkpad,0
88e0d1dd-304f-4187-b34f-5643ae172c16,0.0292,0.64,7.33,112566,laptop,GB,lenovo,office,thinkpad,0
88e0d1dd-304f-4187-b34f-5643ae172c16,0.0292,0.64,7.33,112566,laptop,GB,lenovo,office,thinkpad,0
88e0d1dd-304f-4187-b34f-5643ae172c16,0.0292,0.64,7.33,112566,laptop,GB,lenovo,office,thinkpad,0
88e0d1dd-304f-4187-b34f-5643ae172c16,0.0292,0.64,7.33,112566,laptop,GB,lenovo,office,thinkpad,0
88e0d1dd-304f-4187-b34f-5643ae172c16,0.0292,0.64,7.33,112566,laptop,GB,lenovo,office,thinkpad,0
88e0d1dd-304f-4187-b34f-5643ae172c16,0.0292,0.64,7.33,112566,laptop,GB,lenovo,office,thinkpad,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.0299,0.65,7.54,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.0299,0.65,7.54,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.0299,0.65,7.54,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.0299,0.65,7.54,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.0299,0.65,7.54,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.0299,0.65,7.54,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.0299,0.65,7.54,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.0299,0.65,7.54,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.0299,0.65,7.54,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.0299,0.65,7.54,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.0524,4.22,7.34,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.0494,3.72,7.32,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.0531,4.21,7.34,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.0809,7.89,7.27,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.0809,7.89,7.27,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.2786,37.22,9.58,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.2779,37.03,9.51,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.2801,37.33,9.56,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.2809,37.35,9.56,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.2809,37.35,9.56,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.2824,37.53,9.57,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.2824,37.56,9.61,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.2816,37.47,9.58,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.2816,37.54,9.61,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
